BLOCK_ID,TOTAL_KWH,TOTAL_THERMS,TOTAL_SQFT,TOTAL_SQFT,KWH_PER_SQFT,THERMS_PER_SQFT,KWH_PER_SQMETER,THERMS_PER_SQMETER
170310101001000,189306,17072,25651,25651,7.380063155,0.665549101,79.43837288,7.16391399
170310101001001,41210,7575,9340,7697,4.412205567,0.984149669,47.49260592,10.59330343
170310101001002,162275,38685,45020,45020,3.604509107,0.859284762,38.79862983,9.249268186
170310101001003,785114,148528,209705,209705,3.74389738,0.708271143,40.29899335,7.623770414
170310101002000,395370,106338,138062,138062,2.863713404,0.770219177,30.82476781,8.290573791
170310101002001,144167,55144,67860,67860,2.124476864,0.812614206,22.86768849,8.74691028
170310101002002,545416,60347,114893,82371,4.747164753,0.732624346,51.09807814,7.885906224
170310101002003,50259,6970,19030,19030,2.641040462,0.366263794,28.42793518,3.942432365
170310101002004,113368,17719,59588,31088,1.902530711,0.569962687,20.47867895,6.135029941
170310101002005,470971,55792,70078,69178,6.720668398,0.806499176,72.34070372,8.68108862
170310101002006,291961,62230,69475,64188,4.202389349,0.969495856,45.23416196,10.43557104
170310101002007,109943,9523,17337,10302,6.341523908,0.924383615,68.25962465,9.949986705
170310101002008,753234,72605,103337,98335,7.289102645,0.738343418,78.45928167,7.947465829
170310101002010,677062,34921,57427,30562,,,,
170310101002011,399413,57968,119391,167557,3.345419671,0.345959882,36.00981315,3.723882784
170310101002012,19736,434,3729,3729,5.292571735,0.11638509,56.96879256,1.25275922
170310101002013,595626,26906,69218,69218,8.605073825,0.388713918,92.62428366,4.184083596
170310101003000,854776,157759,132949,126469,6.429352609,1.247412409,69.20500532,13.42704121
170310101003003,362860,112429,130032,130032,2.790543866,0.864625631,30.03717712,9.306756839
170310101003004,477349,168096,138782,116674,,,,
170310101003005,346357,83749,97757,97757,,,,
170310101003006,137083,32473,33612,33612,4.078394621,0.966113293,43.89949325,10.39916141
170310101003007,33227,7516,17857,6516,1.860726886,1.153468386,20.02870613,12.41583572
170310101003008,609265,90415,154322,143211,3.948011301,0.631341168,42.49605827,6.7957027
170310101003009,146224,27883,47996,47996,3.046587216,0.580944245,32.79320598,6.253234506
170310101003010,367046,52029,79147,79147,4.637522585,0.657371726,49.91789915,7.075893416
170310101003011,356408,58308,88523,93881,4.026162692,0.621084138,43.3372732,6.685296906
170310101003012,283167,15934,81168,36953,3.488653164,0.431196385,37.5515663,4.641361254
170310102011000,156199,45916,33305,33305,4.689956463,1.378651854,50.48229296,14.83969144
