ID,COMMUNITY_ID,TOTAL_KWH,TOTAL_THERMS,TOTAL_SQFT,TOTAL_SQFT,KWH_PER_SQFT,THERMS_PER_SQFT,KWH_PER_SQMETER,THERMS_PER_SQMETER
14,Albany_Park,99401210,16054760,16900366,16898374,5.881601026,0.950077209,63.30905381,10.22655037
57,Archer_Heights,93888039,6402320,6383864,7867610,14.70708634,0.813756655,158.305828,8.759207512
34,Armour_Square,55469232,4917078,5828144,5900012,9.517477948,0.833401356,102.4453241,8.970661397
70,Ashburn,130146123,15257780,15595687,15525470,8.345007373,0.98275801,89.82495046,10.57832373
71,Auburn_Gresham,115845372,21906621,18886963,18053657,6.133615659,1.21341737,66.02171791,13.06112149
25,Austin,281873569,39922645,41023720,39616545,6.870989978,1.00772657,73.95875245,10.84708319
45,Avalon_Park,30375750,5291209,4534971,4615246,6.698113395,1.146463049,72.09792358,12.34043087
21,Avondale,121835293,12963732,14357834,16062880,8.485631816,0.807061498,91.33862002,8.687141409
19,Belmont_Cragin,204023619,25337738,23492245,24793907,8.684722086,1.021934058,93.48161078,11.00001139
72,Beverly,82668277,11333403,12284374,12300499,6.729547391,0.921377499,72.43627645,9.917629125
60,Bridgeport,80151600,12512378,13876551,14320622,5.776046224,0.873731462,62.17287088,9.404771237
58,Brighton_Park,93668093,13763042,13024100,13241550,7.191905237,1.039383003,77.41305703,11.18783035
47,Burnside,11448151,1610642,1528580,1193064,7.489402583,1.350004694,80.61529319,14.53133584
48,Calumet_Heights,44772128,7072590,6512877,6646569,6.874400975,1.064096378,73.99546812,11.45384302
44,Chatham,95064590,15856582,15682396,14808650,6.061866439,1.070764857,65.2494154,11.52562196
66,Chicago_Lawn,105237588,16958857,15167178,15215937,6.938508139,1.11454569,74.68551219,11.99687513
64,Clearing,87228330,9230430,10586820,10236753,8.239332491,0.901695098,88.68747501,9.705769437
35,Douglas,34859689,6177623,6498408,6655853,5.364342928,0.928148954,57.74133159,9.990516496
17,Dunning,126864241,16410522,16988733,17394195,7.467551641,0.943448202,80.38009151,10.1551963
27,East_Garfield_Park,38923494,7200981,7794853,7716750,4.993486599,0.933162406,53.74946557,10.04448087
52,East_Side,43046176,7319254,6635791,7118155,6.486969828,1.028251562,69.82519217,11.06801247
77,Edgewater,170881486,22810187,38342510,33134246,4.456710998,0.688417265,47.97165859,7.410064957
9,Edison_Park,37506414,5310423,5569464,5916727,6.734295078,0.897527129,72.48738014,9.660905777
68,Englewood,58597618,10299775,10711434,9773246,5.470567059,1.053874526,58.88471911,11.34381588
12,Forest_Glen,152287515,9141683,10824619,10949325,14.06862588,0.834908362,151.4334939,8.986882683
37,Fuller_Park,7699467,921623,830451,762899,9.271428417,1.208053753,99.79686788,13.00338797
63,Gage_Park,68357258,14747514,9481001,9496898,7.209919923,1.55287695,77.60696558,16.71503557
56,Garfield_Ridge,119822040,13156183,13309858,14564199,9.002503257,0.903323485,96.90218031,9.723297259
38,Grand_Boulevard,46873686,6893188,9055374,10021440,5.176339045,0.687844062,55.71767375,7.403895055
69,Greater_Grand_Crossing,67864092,12464706,12668723,11737957,5.356821836,1.061914437,57.66037519,11.43035679
55,Hegewisch,25966217,3474075,3615444,3646849,7.182027159,0.952623758,77.30673024,10.25396121
20,Hermosa,47428306,9179704,6908076,7781481,6.865631762,1.179685975,73.90107706,12.69803962
23,Humboldt_Park,127296051,19581777,19345383,19337286,6.580177348,1.012643501,70.82846999,10.90000862
41,Hyde_Park,67239843,12999933,16047489,17343809,4.190053846,0.749543137,45.10138366,8.068018651
16,Irving_Park,146951224,20099312,22442098,21343408,6.548016322,0.941710527,70.48229144,10.13649212
11,Jefferson_Park,88848433,10912287,12097410,12544772,7.344417772,0.869867304,79.054689,9.363177767
39,Kenwood,51219990,9137437,12345639,11015199,4.148832636,0.829529907,44.65768206,8.928989449
6,Lakeview,363176548,41674883,60613881,60547753,5.991639902,0.688297764,64.49350292,7.408778661
7,Lincoln_Park,343792532,28187956,39365862,39586862,8.733265691,0.712053307,94.00413002,7.664481308
4,Lincoln_Square,134827072,17150151,18546753,18064137,7.269578238,0.949403285,78.24912262,10.2192963
22,Logan_Square,199571368,25485794,31017215,30817412,6.434213001,0.826993324,69.25732216,8.901685892
32,Loop,1772626644,38637733,130373854,108883199,13.59648879,0.354854866,146.3514503,3.819627634
31,Lower_West_Side,163450193,14666403,16085652,18187044,10.1612414,0.806420384,109.3747392,8.680240505
59,McKinley_Park,50724030,6257632,6395462,6213508,7.931253442,1.007101303,85.3713383,10.84035287
18,Montclare,31090276,4239408,4195058,4141022,7.41116714,1.023758869,79.77317353,11.0196535
75,Morgan_Park,73828777,10370806,10274700,9766534,7.185492228,1.061871694,77.34402795,11.42989671
74,Mount_Greenwood,72020184,8261784,8147007,8314963,8.840078817,0.993604421,95.15385743,10.69507359
8,Near_North_Side,1366253834,45972630,121695781,101106841,11.22679704,0.454693565,120.8442896,4.89428291
33,Near_South_Side,342703590,8052102,24800799,23292707,13.81824795,0.34569198,148.7384471,3.720999105
28,Near_West_Side,668769012,24447517,50753868,44545183,13.17671024,0.548825156,141.8329896,5.907507355
61,New_City,160141489,17596794,16857775,16634077,9.499562605,1.05787619,102.2524849,11.38688944
5,North_Center,116855823,14251429,16810386,17147896,6.951406291,0.831089074,74.82434681,8.945772188
