TRACT_ID,TOTAL_KWH,TOTAL_THERMS,TOTAL_SQFT,TOTAL_SQFT,KWH_PER_SQFT,THERMS_PER_SQFT,KWH_PER_SQMETER,THERMS_PER_SQMETER
Census Tract 010100,9718193,1585348,2201286,2051801,4.414779815,0.772661676,47.5203149,8.316864647
Census Tract 010201,10812991,2071047,2526524,2475121,4.279789545,0.836745759,46.0672911,9.00666027
Census Tract 010202,11537448,1078381,1324039,1347908,8.713827916,0.800040507,93.79490346,8.611568057
Census Tract 010300,11750062,2075786,2575499,2309756,4.562246772,0.898703586,49.1076367,9.673569056
Census Tract 010400,52467053,2777202,2498394,2495735,21.0003118,1.112779201,226.0455723,11.97786079
Census Tract 010501,6509421,1366138,1782501,1648671,3.65184704,0.828629848,39.30817131,8.919301292
Census Tract 010502,4884355,1000602,1398246,1280247,3.493201482,0.781569494,37.60052401,8.41274764
Census Tract 010503,5002749,979742,1128061,1116083,4.434821344,0.877839731,47.73604021,9.448992288
Census Tract 010600,10264732,2195457,2569869,2245183,3.994262743,0.977852139,42.99390485,10.52551736
Census Tract 010701,5973311,1159019,1426808,1365047,4.186485498,0.849068933,45.06297426,9.139305869
Census Tract 010702,13342529,1651694,2168216,1889460,6.153689946,0.87416193,66.23779583,9.409404754
Census Tract 020100,9163348,1487087,1662453,1563550,5.511944097,0.951096543,59.33009803,10.2375224
Census Tract 020200,23338530,2565573,2882492,3191522,8.096650398,0.803871319,87.15165709,8.652802591
Census Tract 020301,16454934,1814948,3867506,3845089,4.254662824,0.472017163,45.79682921,5.080752642
Census Tract 020302,9878605,1829239,2341315,2285452,4.219254991,0.800383907,45.41570231,8.615264378
Census Tract 020400,10009495,1450880,1902055,1693233,5.262463493,0.856869669,56.64471,9.223272325
Census Tract 020500,10037674,1875086,1955898,2167535,5.132002794,0.865077611,55.24044211,9.31162192
Census Tract 020601,14180176,2091001,2418216,2419074,5.863899668,0.864380751,63.1185179,9.304120972
Census Tract 020602,11128308,1754052,1818994,1851348,6.117836562,0.947445861,65.85187305,10.19822676
Census Tract 020701,7316363,875849,1058805,1004284,6.910019314,0.872112868,74.3788609,9.387348831
Census Tract 020702,15143572,2326815,2849500,2821021,5.314466398,0.824813073,57.20446485,8.878217851
Census Tract 020801,12172784,2278425,2448107,2490647,4.972325148,0.914792421,53.5216855,9.846747913
Census Tract 020802,14610444,2493201,2682892,2688309,5.445781642,0.927423522,58.61793098,9.982708003
Census Tract 020901,8315750,1765285,1760773,1709535,4.722783686,1.032611207,50.83564241,11.11493931
Census Tract 020902,7733623,1210778,884084,848882,8.747611087,1.426320737,94.15854264,15.35279525
Census Tract 030101,7708366,898952,1564649,1537773,4.926578421,0.584580429,53.02927162,6.292374078
Census Tract 030102,10993402,1398818,2654088,2169383,4.142063865,0.644799927,44.58482358,6.940571639
Census Tract 030103,4891088,533910,710692,835015,6.882148666,0.639401687,74.07886361,6.882465447
Census Tract 030104,3400967,1046790,1063042,1200481,3.199278109,0.871975483,34.43675779,9.385870027
Census Tract 030200,14633275,2612331,3252056,3158485,4.499699575,0.827083554,48.43438398,8.902657119
Census Tract 030300,6752112,945903,1363599,1151554,4.951684476,0.821414367,53.29951106,8.841634468
Census Tract 030400,9669197,1170267,1433145,1463168,6.746837898,0.799817246,72.62239,8.609164891
Census Tract 030500,13831077,2656581,3240285,3228615,4.268475458,0.822823719,45.94550723,8.856804608
Census Tract 030601,10536941,862609,2631333,1160446,4.004411832,0.743342646,43.10314879,8.001277094
Census Tract 030603,5339568,714349,986455,999240,5.412885535,0.714892318,58.26384008,7.695040183
Census Tract 030604,14939294,1782874,3504949,3224106,4.262342762,0.552982439,45.87949541,5.952256
Census Tract 030701,4995955,709162,638368,634429,7.826136335,1.117795687,84.23986669,12.03185782
Census Tract 030702,10908015,981495,4822947,4822947,2.261690829,0.203505243,24.34464796,2.190513145
Census Tract 030703,15015966,786862,2435299,1922613,6.165964015,0.409266972,66.36991287,4.405314915
Census Tract 030706,8875076,1669120,3420349,1030534,2.594786672,1.619665144,27.93006332,17.43393803
Census Tract 030800,15888775,2603416,2863196,2920069,5.549314472,0.891559754,59.73234957,9.596673458
Census Tract 030900,12790867,1459015,1800725,1718055,7.103176221,0.84922485,76.45798543,9.140984147
Census Tract 031000,13165073,1541513,1993188,1975907,6.605033243,0.780154633,71.09601674,8.397518194
Census Tract 031100,12803422,2461667,2470559,2811803,5.182398801,0.87547634,55.78290046,9.423552956
Census Tract 031200,15149210,1498890,1754717,1538810,8.63342066,0.974057876,92.92940658,10.48467623
Census Tract 031300,12812145,1577211,2890930,2805900,4.431842002,0.562105207,47.70397083,6.050452697
Census Tract 031400,18227786,1719404,4323103,4826690,4.216366346,0.356228388,45.38460917,3.834412112
Census Tract 031501,6900858,819819,2342156,1572501,2.946369926,0.521347204,31.71447559,5.611737019
Census Tract 031502,7978134,951491,1422997,1203137,5.606571201,0.790841774,60.34865614,8.512553679
Census Tract 031700,15446004,2247137,2907065,2948117,5.313264065,0.76222789,57.19152304,8.204556256
Census Tract 031800,6836413,906135,1022090,970740,6.68866049,0.933447679,71.99617332,10.04755152
Census Tract 031900,8401346,1223826,1707901,1493228,4.919105967,0.819584149,52.94883876,8.82193416
Census Tract 032100,20670107,2479873,5280212,5294046,3.914635814,0.468426795,42.13680736,5.042106228
Census Tract 040100,10560311,1595475,1863304,1796729,5.667519095,0.887988673,61.00469409,9.55823464
Census Tract 040201,49083124,3435671,3000009,2874012,16.36099225,1.195426811,176.1083307,12.86747264
Census Tract 040202,14299056,2508101,2802828,2619772,5.101653045,0.957373771,54.91375999,10.30508995
Census Tract 040300,7427479,1223608,1537763,1527340,4.830054436,0.801136617,51.99029564,8.623366485
Census Tract 040401,7958701,1321473,1495102,1590021,5.323182632,0.831104117,57.29828566,8.945934119
Census Tract 040402,8754104,1574009,1935011,1898397,4.524059036,0.829125309,48.69658715,8.924634397
Census Tract 040600,9969563,1367018,1600595,1553129,6.228660592,0.880170288,67.04477349,9.474078216
Census Tract 040700,8709464,1185861,1380221,1340144,6.310195251,0.884875804,67.92240564,9.524727989
