ID,COMMUNITY_NAME,C_AREA,RESIDENTIAL,COMMERCIAL,OFFICE,RECREATIONAL,MEDICAL,EDUCATIONAL,GOVERNMENT,INDUSTRIAL,GREEN,VACANT,WATER,UTILITIES,,
14,ALBANY PARK,53542230.81,49,9,0,0,1,3,9,2,11,0,2,1,,
57,ARCHER HEIGHTS,55922505.71,18,5,0,0,0,3,0,26,1,3,0,31,,
34,ARMOUR SQUARE,27766196.09,20,4,1,11,0,1,1,3,3,3,2,3,,
70,ASHBURN,135460337.2,43,7,0,0,0,4,7,3,8,1,0,7,,
71,AUBURN GRESHAM,105065353.6,46,5,0,0,0,2,2,2,7,5,0,1,,
25,AUSTIN,199254203.4,38,5,0,0,0,2,2,11,4,4,0,1,,
45,AVALON PARK,34852737.73,41,6,0,0,0,4,1,2,4,5,0,6,,
21,AVONDALE,55290595.46,37,11,0,0,0,1,1,10,1,1,1,3,,
19,BELMONT CRAGIN,109099414.7,44,12,0,0,0,5,1,5,3,0,0,1,,
72,BEVERLY,88779363.92,54,4,0,0,0,1,1,0,18,1,0,0,,
60,BRIDGEPORT,58291519.27,35,7,0,1,0,1,1,10,4,6,5,1,,
58,BRIGHTON PARK,75892790.3,32,6,0,0,0,2,1,16,0,3,0,21,,
47,BURNSIDE,16995983.27,21,4,0,0,0,1,1,30,2,12,0,2,,
48,CALUMET HEIGHTS,48826241.56,43,3,0,0,1,1,1,1,2,8,0,5,,
44,CHATHAM,82320670.3,41,9,0,1,0,2,1,2,2,5,0,0,,
66,CHICAGO LAWN,98279465.1,41,6,0,0,0,2,1,2,14,2,0,3,,
64,CLEARING,71145192.37,36,3,0,0,0,1,0,8,2,1,0,44,,
35,DOUGLAS,46004621.15,20,4,1,0,0,15,11,0,7,12,0,0,,
17,DUNNING,103595001.2,48,3,0,0,3,2,16,1,3,2,0,0,,
27,EAST GARFIELD PARK,53883220.84,21,3,0,0,0,4,2,6,15,14,0,1,,
52,EAST SIDE,83241728.03,29,2,0,2,0,2,3,6,8,7,9,26,,
77,EDGEWATER,48449990.83,45,8,0,1,1,3,2,1,20,1,0,0,,
9,EDISON PARK,31636313.78,60,3,1,0,0,1,2,1,3,0,0,0,,
68,ENGLEWOOD,85652323.07,28,3,0,0,0,5,3,1,2,22,0,0,,
12,FOREST GLEN,89130893.62,42,2,1,0,0,1,1,1,40,0,1,0,,
37,FULLER PARK,19916704.87,12,4,0,1,0,1,3,7,2,12,0,39,,
63,GAGE PARK,61284896.1,40,6,0,0,0,5,1,10,2,2,0,5,,
56,GARFIELD RIDGE,117890778.4,42,4,0,0,0,1,1,9,2,2,3,29,,
38,GRAND BOULEVARD,48492503.15,28,4,0,0,1,6,4,1,2,20,0,3,,
69,GREATER GRAND CROSSING,98853167.69,31,4,0,0,0,2,10,2,2,6,0,10,,
55,HEGEWISCH,145965741.4,12,1,0,0,0,0,0,10,13,15,19,17,,
20,HERMOSA,32602059.4,42,5,0,0,0,2,1,15,2,0,0,0,,
23,HUMBOLDT PARK,100480876.5,31,8,0,0,0,3,1,14,10,7,0,4,,
41,HYDE PARK,45105380.16,26,4,0,0,2,14,1,0,41,0,2,0,,
16,IRVING PARK,89611382.29,44,7,0,0,0,2,1,3,5,1,1,0,,
11,JEFFERSON PARK,64868161.67,45,4,0,0,0,1,1,3,24,1,1,1,,
39,KENWOOD,29071741.92,39,3,0,1,0,5,3,0,36,3,0,0,,
6,LAKE VIEW,87214799.26,42,10,0,1,1,2,2,1,33,1,0,1,,
7,LINCOLN PARK,88316400.46,33,10,0,5,1,3,1,2,18,1,3,1,,
4,LINCOLN SQUARE,71352328.23,35,5,0,0,1,2,20,3,6,1,1,1,,
22,LOGAN SQUARE,100057566.7,39,11,0,1,0,2,1,5,1,2,3,0,,
32,LOOP,46335565.45,8,4,13,4,0,1,2,0,37,5,5,3,,
31,LOWER WEST SIDE,81550723.62,15,6,0,0,0,3,2,27,2,4,5,9,,
59,MCKINLEY PARK,39431799.64,25,8,0,0,0,1,2,19,8,5,2,2,,
18,MONTCLARE,27576393.63,51,9,0,0,3,1,1,3,2,1,0,1,,
75,MORGAN PARK,91877340.68,46,5,0,0,0,3,16,3,3,3,0,0,,
74,MOUNT GREENWOOD,75584290.01,45,3,0,0,0,16,15,0,2,0,0,0,,
8,NEAR NORTH SIDE,76675895.96,21,9,5,4,1,4,2,5,8,3,5,6,,
33,NEAR SOUTH SIDE,49769639.44,12,4,2,23,2,1,1,2,31,8,0,1,,
28,NEAR WEST SIDE,158492466.5,13,6,4,2,3,8,4,8,2,6,1,9,,
61,NEW CITY,134636963.2,19,6,0,0,0,1,2,23,3,10,0,11,,
5,NORTH CENTER,57054167.84,41,9,0,0,0,5,1,7,3,1,5,1,,
29,NORTH LAWNDALE,89487422.01,23,4,1,0,1,3,3,11,8,14,0,1,,
13,NORTH PARK,70288706.42,30,4,1,0,0,7,17,4,18,1,1,2,,
10,NORWOOD PARK,121959105.4,54,3,1,0,2,4,8,1,14,0,0,0,,
36,OAKLAND,16913961.04,21,1,0,0,0,4,23,0,37,11,0,0,,
76,OHARE,371835607.6,3,0,1,0,0,0,3,1,12,4,0,73,,
15,PORTAGE PARK,110196097.1,53,7,0,0,0,3,1,1,3,0,0,1,,
50,PULLMAN,59001555.59,16,3,0,2,0,8,4,19,0,16,0,3,,
54,RIVERDALE,98389497.4,12,0,0,1,0,2,0,13,14,10,5,41,,
1,ROGERS PARK,51259902.44,44,7,0,0,1,5,9,4,5,0,0,1,,
49,ROSELAND,134313706.7,43,3,0,0,0,8,2,0,2,5,0,0,,
46,SOUTH CHICAGO,93272184.99,30,4,0,1,0,2,1,2,5,29,4,5,,
51,SOUTH DEERING,303797059.6,7,1,0,0,0,0,0,10,8,10,3,48,,
30,SOUTH LAWNDALE,127998297.8,23,5,0,0,0,4,7,17,1,8,3,6,,
43,SOUTH SHORE,81812716.38,45,6,0,0,0,2,1,1,19,4,0,3,,
3,UPTOWN,65095642.72,29,5,0,0,1,3,12,1,34,1,0,1,,
73,WASHINGTON HEIGHTS,79635752.86,48,3,0,0,0,3,2,2,2,3,0,0,,
40,WASHINGTON PARK,42373881.48,15,3,0,0,0,2,3,1,36,17,0,2,,
62,WEST ELSDON,32711091.42,51,7,0,0,0,2,0,5,2,2,0,0,,
67,WEST ENGLEWOOD,87947691.93,35,3,0,0,0,3,2,2,4,14,0,7,,
26,WEST GARFIELD PARK,36092848.81,29,6,0,0,0,3,2,5,8,14,0,2,,
65,WEST LAWN,82315301.67,37,9,0,0,0,3,3,10,2,2,0,11,,
