COMMUNITY_AREA_NAME,CENSUS_BLOCK,BUILDING_TYPE,BUILDING_SUBTYPE,KWH_JANUARY_2010,KWH_FEBRUARY_2010,KWH_MARCH_2010,KWH_APRIL_2010,KWH_MAY_2010,KWH_JUNE_2010,KWH_JULY_2010,KWH_AUGUST_2010,KWH_SEPTEMBER_2010,KWH_OCTOBER_2010,KWH_NOVEMBER_2010,KWH_DECEMBER_2010,TOTAL_KWH,ELECTRICITY_ACCOUNTS,ZERO_KWH_ACCOUNTS,THERM_JANUARY_2010,THERM_FEBRUARY_2010,THERM_MARCH_2010,THERM_APRIL_2010,THERM_MAY_2010,THERM_JUNE_2010,THERM_JULY_2010,THERM_AUGUST_2010,THERM_SEPTEMBER_2010,THERM_OCTOBER_2010,THERM_NOVEMBER_2010,THERM_DECEMBER_2010,TOTAL_THERMS,GAS_ACCOUNTS,KWH_TOTAL_SQFT,THERMS_TOTAL_SQFT,KWH_MEAN_2010,KWH_STANDARD_DEVIATION_2010,KWH_MINIMUM_2010,KWH_1ST_QUARTILE_2010,KWH_2ND_QUARTILE_2010,KWH_3RD_QUARTILE_2010,KWH_MAXIMUM_2010,KWH_SQFT_MEAN_2010,KWH_SQFT_STANDARD_DEVIATION_2010,KWH_SQFT_MINIMUM_2010,KWH_SQFT_1ST_QUARTILE_2010,KWH_SQFT_2ND_QUARTILE_2010,KWH_SQFT_3RD_QUARTILE_2010,KWH_SQFT_MAXIMUM_2010,THERM_MEAN_2010,THERM_STANDARD_DEVIATION_2010,THERM_MINIMUM_2010,THERM_1ST_QUARTILE_2010,THERM_2ND_QUARTILE_2010,THERM_3RD_QUARTILE_2010,THERM_MAXIMUM_2010,THERMS_SQFT_MEAN_2010,THERMS_SQFT_STANDARD_DEVIATION_2010,THERMS_SQFT_MINIMUM_2010,THERMS_SQFT_1ST_QUARTILE_2010,THERMS_SQFT_2ND_QUARTILE_2010,THERMS_SQFT_3RD_QUARTILE_2010,THERMS_SQFT_MAXIMUM_2010,TOTAL_POPULATION,TOTAL_UNITS,AVERAGE_STORIES,AVERAGE_BUILDING_AGE,AVERAGE_HOUSESIZE,OCCUPIED_UNITS,OCCUPIED_UNITS_PERCENTAGE,RENTER_OCCUPIED_HOUSING_UNITS,RENTER_OCCUPIED_HOUSING_PERCENTAGE,OCCUPIED_HOUSING_UNITS
Albany Park,,,,2220671,2109977,2078785,2080695,2582217,2881111,2683380,2614551,2196303,2236975,2572044,2611331,28868040,636,363,270493,213493,158624,82739,47881,25599,20464,18072,24207,40705,93500,206269,1202046,237,1643197,1459262,145065.5,718983.5,199,5682,11576,25182,9214828,8882.15,22342.29,600,1463,2340,5593,232469,5835.17,15238.4,44,1157,1711,3527,170425,7445.21,20326.03,600,1402,2131.5,5019.5,232469,20271,7713,1.65,66.77,678.87,6822,0.8845,4535,0.6648,6822
Archer Heights,,,,1681133,1537013,1508250,1604688,1769408,1983709,1916261,1864656,1671363,1627799,1659764,1874740,20698784,114,58,263351,221963,166892,94288,67741,62986,66531,75045,71108,77913,112594,206492,1486904,105,1422458,1793970,291532.2,855743.79,112,6140,21263,164340,5980609,20918.5,54154.12,588,1212,2468.5,12155,326091,16521.16,62850.07,97,1114,1507,5395,492734,21105.53,66049.64,520,1119,1600,4100,435435,4055,1597,1.29,51.49,219.83,1472,0.9217,644,0.4375,1472
Armour Square,,,,1019810,1182215,1043623,1020908,1069333,1135115,1403466,1307974,1111612,1032310,1169747,1345210,13841323,404,76,121277,83625,94582,44519,27671,22174,19444,20396,19731,28473,62263,112212,656367,67,1025975,903924,234598.7,538462.12,357,5711,28318,216764,3351426,17689.22,27999.95,882,1911,5534,20500,132094,10939.45,17888.81,87,958,2002.5,10252.5,86467,15320.75,27488.83,882,1920,5419,13000,132094,5294,2468,1.8,36.85,165.3,2275,0.9218,1723,0.7574,2275
Ashburn,,,,2508955,2667015,2508769,2639879,3348938,3448348,3697114,3116143,2741147,3229727,3303222,3801941,37011198,281,123,190792,164349,132801,59017,31137,21464,10477,22907,14293,28620,61891,132498,870246,208,1809982,1773419,185985.9,1474921.14,159,4881,11058,30014,20396794,9627.56,49156.51,624,1125.5,1683,5016,659485,4329.58,9766.88,28,1042,1415,2829,110266,9094.46,48432.98,624,1078,1356,3920,659485,14401,5094,1.31,42.66,683.51,4751,0.9327,971,0.2044,4751
Auburn Gresham,,,,2098056,1966320,1846645,1750305,1950891,2209779,2191244,2090741,1670173,1734975,2273953,2736907,24519989,727,389,455320,397220,281565,133573,82845,39754,29625,27948,28063,63842,177954,394243,2111952,407,2436693,2360039,63523.29,173156.55,123,3816,9902.5,22520,1654101,6902.81,22201.11,506,1200,1964,5008,353513,5692.59,18021.19,26,1163,1885,3458,296603,6629.32,22140.09,506,1151,1795,4500,353513,22248,10467,1.46,61.23,1148.76,8659,0.8273,5278,0.6095,8659
Austin,,,,4914217,4602145,4276679,3741778,4655376,5035923,5490870,5368086,4598089,4103613,4760380,5642098,57189254,1249,709,824780,738069,523439,261901,152696,97750,87539,81756,94876,144435,349969,697764,4054974,663,5074297,4245945,89920.21,322986.11,106,4711,11347,26936,3352817,8763.9,24079.71,122,1500,2520,5965,367300,6803.65,20420.88,25,1237,1926.5,3988,300371,7595.61,17434.64,672,1440,2400,5727,195448,48897,19985,1.58,59.6,2061.92,16903,0.8458,11419,0.6756,16903
Avalon Park,,,,765318,591094,548456,546482,561253,553416,550277,577188,484164,585935,747036,855011,7365630,121,62,130575,106298,75686,43561,31215,25783,22612,22742,23080,30950,52525,121928,686955,111,605375,969393,76725.31,377787.93,100,4713,9095,18918.5,3523599,6580.16,31466.77,200,1180,1666.5,3382.5,299606,6480.71,21410.62,25,1024,1776,3931,206476,9693.93,33974.12,600,1247,1909,4304.5,299606,3553,1527,1.33,57.29,218.93,1335,0.8743,335,0.2509,1335
Avondale,,,,1411929,1355511,1326372,1241245,1618390,1788565,1811734,1663774,1484830,1470532,1605170,1791242,18569294,255,157,219380,180556,145576,81719,39717,23123,19601,18349,18701,29580,67356,166983,1010641,207,1305355,1022718,109231.1,459068.3,139,5800,9941.5,26247,5318175,8314.36,24672.74,300,1300,2274,4969,243600,6200.25,16057.69,73,1060,1719,4346,139472,6514.13,13921.2,300,1251,2220,5686,138485,12002,4951,1.45,61.82,469.6,4342,0.877,2794,0.6435,4342
Belmont Cragin,,,,2089837,2400735,2210776,2274712,2725378,3080353,3024102,2990352,2574851,2401706,2818770,2967803,31559375,866,322,495569,461671,300423,139364,99034,56940,50769,51217,53287,91421,215208,502957,2517860,429,2695775,2806677,81548.77,300779.13,126,5021,11545,26649,2950345,7509.12,21979.91,141,1300,2100,6091,282500,6556.93,18046.28,39,1193,1729,4355.5,196896,7689.53,22625.42,200,1219,1968,5751,282500,29058,9026,1.39,55.29,1499.9,8197,0.9081,4409,0.5379,8197
Beverly,,,,560023,584902,518471,548344,684296,779664,780407,689834,572004,565168,762021,729952,7775086,285,104,111224,90435,69747,28649,17250,11365,8395,8128,7582,11809,40152,92980,497716,131,818592,644045,49522.84,129068.46,253,6784,11197,25930,1051119,6248.79,10239.84,810,1578,2320,4838,58533,3950.13,7350.56,45,1227,1945.5,2894,47169,5279.06,9134.92,819,1460,2292,3700,58533,9250,4671,1.63,58.32,399.42,4181,0.8951,1952,0.4669,4181
